material,fab_method,shape,diameter_nm,height_nm,spacing_nm,aspect_ratio,Ra_nm,Rq_nm,WCA_deg,strain,gram,motility,cell_shape,BE_pct,ref
TiO2,Hydrothermal synthesis,wire,17,180,,0.09,149,,36,S. aureus,+,N,S,45.0,(5)
TiO2,Hydrothermal synthesis,wire,17,180,,0.09,149,,36,P. aeruginosa,-,M,R,0.0,(5)
TiO2,Hydrothermal synthesis,wire,18,328,,0.05,27,,7,S. aureus,+,N,S,20.0,(5)
TiO2,Hydrothermal synthesis,wire,18,328,,0.05,27,,7,P. aeruginosa,-,M,R,0.0,(5)
TiO2,Hydrothermal synthesis,wire,21,244,,0.09,51,,91,S. aureus,+,N,S,20.0,(5)
TiO2,Hydrothermal synthesis,wire,21,244,,0.09,51,,91,P. aeruginosa,-,M,R,0.0,(5)
TiO2,Hydrothermal synthesis,wire,154,14796,,0.01,2296,,6,S. aureus,+,N,S,25.0,(5)
TiO2,Hydrothermal synthesis,wire,154,14796,,0.01,2296,,6,P. aeruginosa,-,M,R,0.0,(5)
Ti,Hydrothermal synthesis,wire,30,40,,0.75,401,481,73,P. aeruginosa,-,M,R,47.0,(6)
Ti,Hydrothermal synthesis,wire,30,40,,0.75,401,481,73,S. aureus,+,N,S,19.0,(6)
Ti,Glancing angle sputter deposition (GLAD),pillar,33,478,158,0.07,,26,41,E.coli,-,M,R,60.0,(7)
Ti,Glancing angle sputter deposition (GLAD),pillar,33,478,158,0.07,,26,41,S. aureus,+,N,S,0.0,(7)
Ti,Glancing angle sputter deposition (GLAD),pillar,50,300,150,0.17,,57,102,S. aureus,+,N,S,80.0,(8)
TiO2,"Electrochemical 
anodizing (EA)",pillar,10,2000,2000,0.01,,,0,S. aureus,+,N,S,15.0,(9)
TiO2,"Electrochemical 
anodizing (EA)",pore,55,1000,70,0.06,,,15,S. aureus,+,N,S,23.0,(9)
Ti,Anodization,tube,20,200,,0.10,,10,7,S. aureus,+,N,S,51.0,(10)
Ti,Anodization,tube,20,200,,0.10,,10,7,S. epidermidis,+,N,S,40.0,(10)
Ti,Anodization,tube,40,1200,,0.03,,8,7,S. aureus,+,N,S,52.0,(10)
Ti,Anodization,tube,40,1200,,0.03,,8,7,S. epidermidis,+,N,S,46.0,(10)
Ti,Anodization,tube,60,3600,,0.02,,10,7,S. aureus,+,N,S,54.0,(10)
Ti,Anodization,tube,60,3600,,0.02,,10,7,S. epidermidis,+,N,S,47.0,(10)
Ti,Anodization,tube,80,6500,,0.01,,9,9,S. aureus,+,N,S,58.0,(10)
Ti,Anodization,tube,80,6500,,0.01,,9,9,S. epidermidis,+,N,S,52.0,(10)
Ti,Anodization + heat treatment,tube,20,200,,0.10,,10,1,S. aureus,+,N,S,52.0,(10)
Ti,Anodization + heat treatment,tube,20,200,,0.10,,10,1,S. epidermidis,+,N,S,43.0,(10)
Ti,Anodization + heat treatment,tube,40,1200,,0.03,,8,2,S. aureus,+,N,S,60.0,(10)
Ti,Anodization + heat treatment,tube,40,1200,,0.03,,8,2,S. epidermidis,+,N,S,48.0,(10)
Ti,Anodization + heat treatment,tube,60,3600,,0.02,,10,2,S. aureus,+,N,S,49.0,(10)
Ti,Anodization + heat treatment,tube,60,3600,,0.02,,10,2,S. epidermidis,+,N,S,48.0,(10)
Ti,Anodization + heat treatment,tube,80,6500,,0.01,,9,3,S. aureus,+,N,S,51.0,(10)
Ti,Anodization + heat treatment,tube,80,6500,,0.01,,9,3,S. epidermidis,+,N,S,47.0,(10)
Ti6Al4V,hydrothermally etched,cone,90,348,437,0.26,500,,61,S. aureus,+,N,S,65.0,(11)
Ti6Al4V,hydrothermally etched,cone,90,348,437,0.26,500,,61,P. aeruginosa,-,M,R,98.0,(11)
Ti6Al4V,hydrothermally etched,cone,90,348,437,0.26,500,,61,P. aeruginosa,-,M,R,90.0,(11)
Ti+nano-CeO2,hydrothermal methods,rod,9.6,325,,0.03,,,38,S. sanguinis,+,M,S,60.0,(12)
Ti+nano-CeO2,hydrothermal methods,rod,9.6,325,,0.03,,,38,F. nucleatum,-,N,R,0.0,(12)
Ti+nano-CeO2,hydrothermal methods,cube,57.2,57.2,,1.00,,,38,S. sanguinis,+,M,S,90.0,(12)
Ti+nano-CeO2,hydrothermal methods,cube,57.2,57.2,,1.00,,,38,F. nucleatum,-,N,R,0.0,(12)
Ti+nano-CeO2,hydrothermal methods,octahedra,29.1,29.1,,1.00,,,38,S. sanguinis,+,M,S,90.0,(12)
